Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
Y12751.1	Rift Valley fever virus	GenBank			Prehaud,C.J.N.	C.J.N. Prehaud, Institut Pasteur, Laboratoire des Bunyavirides, 75724 Paris Cedex 15, 75724, FRANCE		25-JUL-2016	H Eg93A	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	602	partial												Rift valley fever virus NSs gene, partial, strain H Eg93			H Eg93A	rvf	Y12751.1		
DQ375395.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Mauritania	Mauritania			human sera	1987			Rift Valley fever virus strain OS-8 segment L, complete sequence	1987	Mauritania	OS-8	rvf	DQ375395.1	21.0079	-10.9408
KY126714.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU52/99/1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		African buffalo		1999			Rift Valley fever virus isolate SPU52/99/1 segment M, complete sequence	1999	South Africa	SPU52/99/1	rvf	KY126714.1	-30.5595	22.9375
JN995282.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S2_HM_MR_TI_2003	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Mauritania: Tijiga	Mauritania		Homo sapiens		2003			Rift Valley fever virus strain S2_HM_MR_TI_2003 non-structural protein gene, partial cds	2003	Mauritania	S2_HM_MR_TI_2003	rvf	JN995282.1	21.0079	-10.9408
PP746438.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	KEM-ND	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6232	partial		L		Kenya: Baringo	Kenya		Homo sapiens		01-Jan-2007			Rift Valley fever virus strain KEM-ND polymerase gene, partial cds	2007-01-01	Kenya	KEM-ND	rvf	PP746438.1	0.0236	37.9062
MG659862.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA538/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA538/10 segment L, complete sequence	2010	South Africa	SA538/10	rvf	MG659862.1	-30.5595	22.9375
MG659883.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1329/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1329/10 segment L, complete sequence	2010	South Africa	SA1329/10	rvf	MG659883.1	-30.5595	22.9375
JQ820484.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 86-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6402	complete		L		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 86-2010 segment L, complete sequence	2010	Sudan	Sudan 86-2010	rvf	JQ820484.1	12.8628	30.2176
OQ440152.1	Rift Valley fever virus	GenBank			Yi,H. and Kim,K.W.	School of Biosystem and Biomedical Science, Korea University, Anam-ro 145, Seongbuk-gu, Seoul 02841, South Korea		02-JUL-2023	Kenya 56 (IB8)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	798	partial				Kenya	Kenya		bovine					Rift Valley fever virus strain Kenya 56 (IB8) nonstructural protein (NSs) gene, complete cds		Kenya	Kenya 56 (IB8)	rvf	OQ440152.1	0.0236	37.9062
MG659947.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA535/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA535/10 segment S, complete sequence	2010	South Africa	SA535/10	rvf	MG659947.1	-30.5595	22.9375
GN355311.1	Rift Valley fever virus	GenBank			Baptista,C.S., Wu,X. and Munroe,D.J.			12-MAY-2009		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	60	partial												Sequence 5075 from Patent WO2007130519			GN355311.1	rvf	GN355311.1		
DQ380222.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2269/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe: Sinoia	Zimbabwe		bovine		1974			Rift Valley fever virus strain 2269/74 segment M, complete sequence	1974	Zimbabwe	2269/74	rvf	DQ380222.1	-19.0154	29.1549
MG659766.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA394/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA394/10 segment M, complete sequence	2010	South Africa	SA394/10	rvf	MG659766.1	-30.5595	22.9375
PV231434.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,J., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.L.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_CAP/2018/1327_S6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Botswana	Botswana		caprine		2018			Rift Valley fever virus isolate BOT_CAP/2018/1327_S6 segment M, complete sequence	2018	Botswana	BOT_CAP/2018/1327_S6	rvf	PV231434.1	-22.3285	24.6849
EU574046.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001292	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Meru South district	Kenya		bovine		31-Jan-2007			Rift Valley fever virus strain 2007001292 segment M, complete sequence	2007-01-31	Kenya	2007001292	rvf	EU574046.1	0.0236	37.9062
PP746393.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P319	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1636	partial		S		Rwanda	Rwanda		Bos taurus		2022-08-25			Rift Valley fever virus strain Rwanda2022P319 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-08-25	Rwanda	Rwanda2022P319	rvf	PP746393.1	-1.9403	29.8739
HM587085.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	VRL1032/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Zimbabwe	Zimbabwe		bovine		1978			Rift Valley fever virus isolate VRL1032/78 segment M glycoprotein G2 gene, partial cds	1978	Zimbabwe	VRL1032/78	rvf	HM587085.1	-19.0154	29.1549
PP746331.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P67	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6221	partial		L		Rwanda	Rwanda		Bos taurus		2022-06-18			Rift Valley fever virus strain Rwanda2022P67 polymerase gene, partial cds	2022-06-18	Rwanda	Rwanda2022P67	rvf	PP746331.1	-1.9403	29.8739
MH175205.1	Rift Valley fever virus	GenBank			Kroeker,A.L.	Special Pathogens, NCFAD, Canadian Food Inspection Agency, 1015 Alrlington Street, Winnipeg, MB R3E 3M4, Canada		24-NOV-2018	CFIA-UAP	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	1689	complete		S					Homo sapiens	blood				Rift Valley fever virus isolate CFIA-UAP segment S, complete sequence			CFIA-UAP	rvf	MH175205.1		
PP746348.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P110	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3567	partial		M		Rwanda	Rwanda		Bos taurus		2022-09-12			Rift Valley fever virus strain Rwanda2022P110 glycoprotein gene, partial cds	2022-09-12	Rwanda	Rwanda2022P110	rvf	PP746348.1	-1.9403	29.8739
ON060818.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201902763_S|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1679	partial		S		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902763_S|Uganda|2018 nonstructural protein and nucleocapsid protein genes, complete cds	2018	Uganda	201902763_S|Uganda|2018	rvf	ON060818.1	1.3733	32.2903
JN995298.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S209_HM_MR_TG_1987	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Mauritania: Tegmaline	Mauritania		Homo sapiens		1987			Rift Valley fever virus strain S209_HM_MR_TG_1987 non-structural protein gene, partial cds	1987	Mauritania	S209_HM_MR_TG_1987	rvf	JN995298.1	21.0079	-10.9408
AF134494.1	Rift Valley fever virus	GenBank			Sall,A.A., de A. Zanotto,P.M., Sene,O.K., Zeller,H.D., Digoutte,J.P., Thiongane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Pateur de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	H D47502	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	737	partial		M										Rift Valley fever virus H D47502 M segment G2 (G2) gene, partial cds			H D47502	rvf	AF134494.1		
EU312112.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	Ar811MAD79	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar	Madagascar		mosquito		1979			Rift Valley fever virus strain Ar811MAD79 segment S, complete sequence	1979	Madagascar	Ar811MAD79	rvf	EU312112.1	-18.7669	46.8691
HM587115.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	95EG Cow-2509	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Egypt	Egypt		bovine		1995			Rift Valley fever virus isolate 95EG Cow-2509 segment M glycoprotein G2 gene, partial cds	1995	Egypt	95EG Cow-2509	rvf	HM587115.1	26.8206	30.8025
MG659926.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA206/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA206/10 segment S, complete sequence	2010	South Africa	SA206/10	rvf	MG659926.1	-30.5595	22.9375
KX944823.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M80/08/2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1645	partial		S		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate M80/08/2 nonstructural protein and nucleocapsid protein genes, complete cds	2008	South Africa	M80/08/2	rvf	KX944823.1	-30.5595	22.9375
DQ380212.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	74HB59	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Central African Republic	Central African Republic		Homo sapiens	human sera	1974			Rift Valley fever virus strain 74HB59 segment M, complete sequence	1974	Central African Republic	74HB59	rvf	DQ380212.1	6.6111	20.9394
MG659943.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA472/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA472/10 segment S, complete sequence	2010	South Africa	SA472/10	rvf	MG659943.1	-30.5595	22.9375
AF134801.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Digoutte,H.G., Thiogane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Paster de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	384-97	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	129	partial												Rift Valley fever virus strain 384-97 polymerase (L) gene, partial cds			384-97	rvf	AF134801.1		
OM744366.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-321	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3884	complete		M		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-321 segment M, complete sequence	2021-07-15	Kenya	DVS-321	rvf	OM744366.1	0.0236	37.9062
EU574030.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000080	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Maragua district	Kenya		bovine		12-Jan-2007			Rift Valley fever virus strain 2007000080 segment L, complete sequence	2007-01-12	Kenya	2007000080	rvf	EU574030.1	0.0236	37.9062
HM586955.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/Kil-006/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L		Kenya	Kenya		Homo sapiens		05-Jan-2007			Rift Valley fever virus strain KEN/Kil-006/07 polymerase (L) gene, complete cds	2007-01-05	Kenya	KEN/Kil-006/07	rvf	HM586955.1	0.0236	37.9062
OR780613.1	Rift Valley fever virus	GenBank			Juma,J.A., Nkundwanayo,C., Nyabongo,L., Niyokwizera,P., Ntirandekura,B., Ntuwuyankira,N., Nyamota,R., Konongoi,S.L., Roesel,K., Bett,B.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		06-DEC-2023	BDI0002	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial				Burundi: Ruyaga	Burundi		Homo sapiens		17-May-2022			Rift Valley fever virus isolate BDI0002 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-05-17	Burundi	BDI0002	rvf	OR780613.1	-3.3731	29.9189
MG659907.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA62/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA62/10 segment S, complete sequence	2010	South Africa	SA62/10	rvf	MG659907.1	-30.5595	22.9375
JF311385.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803170	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Madagascar: Manjakandriana	Madagascar		bovine		Mar-2008			Rift Valley fever virus strain 200803170 segment M, complete sequence	2008	Madagascar	200803170	rvf	JF311385.1	-18.7669	46.8691
PP541453.1	Rift Valley fever virus	GenBank			Sene,O.	Virology, Institut Pasteur, Dakar, 30, Avenue Pasteur, Dakar 220, Senegal		27-OCT-2024	SH409226	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6315	complete		L		Senegal	Senegal		Homo sapiens		11-Nov-2022			Rift Valley fever virus isolate SH409226 segment L, complete sequence	2022-11-11	Senegal	SH409226	rvf	PP541453.1	14.4974	-14.4524
AF134535.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Zeller,H.G., Digoutte,J.P., Thiongane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Pasteur de Dakar, BP 200, Dakar, Senegal		03-OCT-1999	B Egy 93	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	735	partial												Rift Valley fever virus strain B Egy 93 nucleocapsid protein (N) gene, partial cds			B Egy 93	rvf	AF134535.1		
HM587093.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	SA276/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA276/10 segment M glycoprotein G2 gene, partial cds	2010	South Africa	SA276/10	rvf	HM587093.1	-30.5595	22.9375
M33077.1	Rift Valley fever virus	GenBank			Battles,J.K. and Dalrymple,J.M.			03-AUG-1993	Ugandan isolate SNS	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		M										Rift Valley fever virus (Ugandan isolate SNS) M segment nonstructural glycoprotein gene, partial cds			Ugandan isolate SNS	rvf	M33077.1		
OR528952.1	Rift Valley fever virus	GenBank			Becquart,P., Kombila,L., Mebaley,T.N., Paupy,C., Garcia,D., Nesi,N., Vanhomwegen,J., Mombo,I.M., Piro-Megy,C., Fritz,M., Lenguiya,L.H., Leroy,E.M., N'Dilimabaka,N., Maganga,G.D. and Cetre-Sossah,C.	BIOS, CIRAD, Campus International de Baillarguet, Montpellier 34398, France		26-FEB-2024	2019/Sample-120	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1681	complete		S		Gabon: Zoula	Gabon		Philantomba monticola	liver/spleen	02-Jul-2019			Rift Valley fever virus strain 2019/Sample-120 segment S, complete sequence	2019-07-02	Gabon	2019/Sample-120	rvf	OR528952.1	-0.8037	11.6094
KY126676.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA354/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA354/11 segment L, complete sequence	2011	South Africa	SA354/11	rvf	KY126676.1	-30.5595	22.9375
JN995278.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S32_ARBkcx_SN_BA_2002	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Senegal: Barkedji	Senegal		Culex poicilipes		2002			Rift Valley fever virus strain S32_ARBkcx_SN_BA_2002 non-structural protein gene, partial cds	2002	Senegal	S32_ARBkcx_SN_BA_2002	rvf	JN995278.1	14.4974	-14.4524
FV537363.1	Rift Valley fever virus	GenBank			Millar,D.S. and Meruki,J.R.			18-MAR-2010		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	1690	partial												Modified Microbial Nucleic Acid			FV537363.1	rvf	FV537363.1		
PP746381.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P102	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1636	partial		S		Rwanda	Rwanda		Bos taurus		2022-05-08			Rift Valley fever virus strain Rwanda2022P102 nonstructural protein and nucleocapsid genes, complete cds	2022-05-08	Rwanda	Rwanda2022P102	rvf	PP746381.1	-1.9403	29.8739
JQ820474.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 28-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 28-2010 segment S, complete sequence	2010	Sudan	Sudan 28-2010	rvf	JQ820474.1	12.8628	30.2176
EU574064.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002445	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Meru Central district	Kenya		bovine		05-Feb-2007			Rift Valley fever virus strain 2007002445 segment S, complete sequence	2007-02-05	Kenya	2007002445	rvf	EU574064.1	0.0236	37.9062
